"FECHA_ORDEN","FECHA_VENCIMIENTO","FECHA_ORDEN_PAGADA","ORDEN_DE_COMPRA","MONTO","TIPO_MONEDA","NOMBRE_PROVEEDOR","RUBRO"
"14-07-2020","23-07-2020","27-07-2020","20CAL01167",68000000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJI DULCE (E)
"14-07-2020","23-07-2020",,"20CAL01166",22500000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"14-07-2020","23-07-2020","27-07-2020","20CAL01164",54000000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CEBOLLA (E)
"14-07-2020","29-07-2020","31-07-2020","20CAL01166",22500000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"14-07-2020","29-07-2020",,"20CAL01166",22500000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"14-07-2020","23-07-2020","27-07-2020","20CAL01165",16380000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO PORRO (E)
"14-07-2020","21-07-2020","21-07-2020","20CAL01179",11000000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",CALABACIN (E)
"20-07-2020","30-07-2020","31-07-2020","20CAL01189",4054210300,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"20-07-2020","30-07-2020",,"20CAL01189",4054210300,BOLIVAR,"FAMA DE AMERICA, S.A.",CAFE 100 GR
"27-07-2020","05-08-2020","07-08-2020","20CAL01225",53550000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",ZANAHORIA (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01224",37800000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJO CRIOLLO (E)
"27-07-2020","05-08-2020","07-08-2020","20CAL01223",110880000,BOLIVAR,"MAXIMAS DISTRIBUCIONES R.M, C.A ",AJI DULCE (E)
