"ORDEN_COMPRA","FECHA","PROVEEDOR","MONTO_EURO"
"20CAL01027","06-2020","CORPORACION TRADING LATINOAMERICA, C.A.",1281600
"20CAL01029","06-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",1550000
"20CAL01026","06-2020","DALLCA, C.A.",64525
"20CAL01035","06-2020","ALIMENTOS JAD GLOBAL, C.A",550000
"20CAL01034","06-2020","ALIMENTOS JAD GLOBAL, C.A",232126
"20CAL01033","06-2020","EL BODEGON DE LOS LLANOS, C.A",35600
"20CAL01038","06-2020",DISTRIBUIDORA BUENOS AIRES 2018 C.A ,640800
"20CAL01037","06-2020",DISTRIBUIDORA BUENOS AIRES 2018 C.A ,485940
"20CAL01036","06-2020","AGRO AGUACATES AFN, C.A.",32040
"20CAL01041","06-2020",COMERCIAL AGRO INDUSTRIAL NUEVO CAMPO C.A.,638000
"20CAL01039","06-2020",DISTRIBUIDORA BUENOS AIRES 2018 C.A ,696960
"20CAL01043","06-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),2200000
"20CAL01042","06-2020",AGROINSUMOS LARA C.A,1174800
"20CAL01045","06-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),510400
"20CAL01048","06-2020","GEO ALIMENTARIA GLOBAL, C.A ",176000
"20CAL01046","06-2020","DISTRIBUIDORA SAN MIGUEL MM, CA",2458600
"20CAL01047","06-2020","IMPORTADORA INMOPLAS, C.A",176000
"20CAL01060","06-2020","OPERADORA DE ALIMENTOS SAVECA, C.A",5104000
"20CAL01059","06-2020","GRUPO AS 2000, C.A.",3693600
"20CAL01061","06-2020","ALIMENTOS SURVEN, C.A.",1100000
"20CAL01051","06-2020","ALIMENTOS SURVEN, C.A.",2934800
"20CAL01063","06-2020",ZONA LIBRE 2000 CA,211200
"20CAL01062","06-2020","CARNES FINAS, C.A.",880000
"20CAL01058","06-2020","CONSORCIO VEINCA, C.A.",880000
"20CAL01057","06-2020","CONSORCIO VEINCA, C.A.",880000
"20CAL01055","06-2020","AGROALIMENTOS LA ORIENTAL, C.A.",880000
"20CAL01053","06-2020","INVERSIONES HAR, C.A.",101200
"20CAL01052","06-2020","SOL DE VENEZUELA, C.A",72072
"20CAL01056","06-2020","INVERSIONES Y FESTEJO DOÑA SOFIA, C.A",560000
"20CAL01064","06-2020","COMERCIALIZADORA PIAR PEÑA, C.A.",900000
"20CAL01065","06-2020",COMERCIAL CARPE DIEM 08-09 C.A,739200
"20CAL01077","06-2020",GRUPO AERO 3000 C.A,526240
"20CAL01075","06-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,3330000
"20CAL01072","06-2020","INVERSIONES Y COMERCIALIZADORA TORREMONCA, C.A.",600160
"20CAL01071","06-2020",INVERSIONES ALICEOLE C.A ,5665069.96
"20CAL01067","06-2020","INVERSIONES Y COMERCIALIZADORA TORREMONCA, C.A.",330000
"20CAL01066","06-2020","INVERSIONES Y COMERCIALIZADORA TORREMONCA, C.A.",1393920
"20CAL01074","06-2020",DISTRIBUIDORA SOL DE ORIENTE 2017 C.A,89232
"20CAL01070","06-2020","INVERSIONES Y COMERCIALIZADORA TORREMONCA, C.A.",968000
"20CAL01085","06-2020",GRUPO AERO 3000 C.A,2082600
"20CAL01079","06-2020",AGROPECUARIA SAN MARINO C.A,48594
"20CAL01082","06-2020","EMPRESA SOCIALISTA DE ALIMENTOS, S.A",3364320.6
"20CAL01091","06-2020","COMERCIALIZADORA M&R, C.A",27760
"20CAL01090","06-2020","COMERCIALIZADORA M&R, C.A",16198
"20CAL01092","06-2020","SUMINISTROS Y SERVICIOS SYA, C.A",129050
"20CAL01087","06-2020","ALIMENTOS MONACO 2016, C.A.",69975.36
"20CAL01086","06-2020","CEREALES&PILONES BFC, C.A.",459000
"20CAL01089","06-2020","INVERSIONES Y FESTEJO DOÑA SOFIA, C.A",809900
"20CAL01088","06-2020","INDUSTRIAS POLLO PREMIUM 5.8, C A",799200
"20CAL01101","06-2020","COMERCIALIZADORA DON OMAR, C.A",2581000
"20CAL01099","06-2020","KP DISTRIBUIDORA, C.A",213600
"20CAL01100","06-2020","KP DISTRIBUIDORA, C.A",445000
"20CAL01106","06-2020","ALIMENTOS BARESINA, C.A.",739200
"20CAL01105","06-2020","ALIMENTOS FRAVI, C.A",152063.86
"20CAL01104","06-2020","GRUPO HG XXI, C.A.",13525.38
"20CAL01102","06-2020",ENVASADORA DE ALIMENTOS (EVALSA) SOCIEDAD ANONIMA,7235000
"20CAL01103","06-2020","EMPRESA MIXTA SOCIALISTA AVICOLA DEL ALBA, S.A",1965600
"20CAL01111","06-2020","CORPORACION MANA 77, C.A.",2564000
"20CAL01110","06-2020","DISTRIBUIDORA DE ALIMENTOS LOS SOTOS 48, C.A.",1514695.82
"20CAL01112","06-2020","ALIMENTOS  AGROPROSUR, C.A.",1860797.36
"20CAL01114","06-2020",ALIMENTOS ARMUSA C.A,3870000
"20CAL01113","06-2020","DESARROLLOS DAHMO, C.A.",5560000
"20CAL01118","06-2020","CONSORCIO SEMILLERO NACIONAL, C.A. CONSENACA",329300
"20CAL01116","06-2020","CONSORCIO SEMILLERO NACIONAL, C.A. CONSENACA",329300
"20CAL01115","06-2020",ALIMENTOS LA ALIANZA C.A ,64500
"20CAL01119","06-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,2634400
"20CAL01121","06-2020","EMPRESA MIXTA SOCIALISTA AVICOLA DEL ALBA, S.A",146850
"20CAL01120","06-2020",ALIBAL SERVICIOS Y PROCESOS C.A.,3951600
"20CAL01129","06-2020","ALIMENTOS DE VENEZUELA 2014 ( ALIVENCA), C.A",454950
"20CAL01130","06-2020","SUPRAQUIMIC, C.A",1968088.5
"20CAL01126","06-2020","CORPORACION TECNOAGRO, C.A",801000
"20CAL01122","06-2020","INDUSTRIAS CHEPEL, C.A.",2840200
"20CAL01128","06-2020","CORPORACION TECNOAGRO, C.A",333630
"20CAL01123","06-2020","EMPAQUETADORA AGROINDUSTRIAL PORT VEN, C.A.",68565.6
"20CAL01132","07-2020","SUPRAQUIMIC, C.A",563880.24
"20CAL01133","07-2020",ALIMENTOS MK MARKET C.A,264000
"20CAL01131","07-2020","LACTEOS GRANDES LIGAS, C.A",272800
"20CAL01134","07-2020","GRUPO 3S, C.A",1276000
"20CAL01136","07-2020",INPROA SANTONI C A,89760
"20CAL01135","07-2020","ALIMENTOS H&H, C.A",191400
"20CAL01144","07-2020","DISTRIBUIDORA LA TIERRA BENDECIDA, C.A",829400
"20CAL01142","07-2020","AGRO VIVERES VENEZUELA 2012, CA",191400
"20CAL01146","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),1936000
"20CAL01147","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),449150
"20CAL01149","07-2020",FUNDACION BATALLA MATA DE MIEL,176000
"20CAL01151","07-2020","CORPORACION JL 2016, C.A",190950
"20CAL01148","07-2020","CORPORACION DE PRODUCTOS ALIMENTARIOS SANTA CLARA, C.A",29285.1
"20CAL01156","07-2020","ALIMENTOS LLANO SUR, C.A",960960
"20CAL01154","07-2020","ALIMENTOS LLANO SUR, C.A",387200
"20CAL01152","07-2020","COMERCIALIZADORA TRAND, C.A.",1188000
"20CAL01155","07-2020","ALIMENTOS LLANO SUR, C.A",3168000
"20CAL01153","07-2020","CEREALES&PILONES BFC, C.A.",317856
"20CAL01160","07-2020",IDEAL ALIMENTOS C.A.,880000
"20CAL01158","07-2020",INPROA SANTONI C A,97500
"20CAL01161","07-2020","DISTRIBUIDORA PORTUGUESA DISTPORT, C.A ",191400
"20CAL01159","07-2020",DISPROLAMA C.A ,191400
"20CAL01162","07-2020",INVERSIONES LORENZILLOS C.A.,3819000
"20CAL01180","07-2020","ALIMENTOS H&H, C.A",68400
"20CAL01181","07-2020","AGROINVERSIONES LA VICTORIA, C.A",1425060
"20CAL01187","07-2020","ALIMENTOS LOS LLANOS 07, C.A.",1760000
"20CAL01185","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),18900
"20CAL01184","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),17424
"20CAL01183","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),11085
"20CAL01182","07-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),120384
"20CAL01188","07-2020","XEAX ALIMENTOS,C.A",240240
"20CAL01190","07-2020",INVERSIONES ALICEOLE C.A ,2915585.98
"20CAL01195","07-2020","XEAX ALIMENTOS,C.A",234900
"20CAL01202","07-2020","CORPORACION DE ALIMENTOS MULTILIDER, C.A.",7482000
"20CAL01207","07-2020","DISTRIBUIDORA Y COMERCIALIZADORA DAYKARI, C.A.",7326000
"20CAL01203","07-2020",GRUPO SOCOLCA CA,7482000
"20CAL01200","07-2020","AGROTRANSOL, C.A.",623500
"20CAL01204","07-2020","ALIMENTOS LUAL, C.A.",7482000
"20CAL01208","07-2020",NORTECA INTERNATIONAL LIMITED,9924000
"20CAL01210","07-2020","DISTRIBUIDORA DE ALIMENTOS LOS SOTOS 48, C.A.",4422000
"20CAL01209","07-2020","ALIMENTOS EL MAIZAL, C.A.",10500000
"20CAL01212","07-2020",INVERSIONES MAGEMEL C.A,1870500
"20CAL01230","07-2020","INVERSIONES GAJOLU 57, C.A",26460
"20CAL01232","07-2020","CONSORCIO VEINCA, C.A.",229500
"20CAL01231","07-2020","INDUSTRIAS CHEPEL, C.A.",2858562.54
"20CAL01234","07-2020","ALIMENTOS JAD GLOBAL, C.A",409004.4
"20CAL01233","07-2020","COMERCIALIZADORA M&R, C.A",50400
"20CAL01255","08-2020","CORPORACION MANA 77, C.A.",3080000
"20CAL01254","08-2020",ALIMENTOS LA ALIANZA C.A ,61600
"20CAL01260","08-2020","GRANJA LOS MOLINOS, C.A ",24738
"20CAL01257","08-2020","GRANJA LOS MOLINOS, C.A ",10416
"20CAL01256","08-2020",AGROPECUARIA BUENA VISTA 2007,19503.96
"20CAL01261","08-2020",AGRICOLAS KAIROS C.A,44268
"20CAL01263","08-2020","ALIMENTOS LOS LLANOS 07, C.A.",588000
"20CAL01262","08-2020","OPERADORA DE ALIMENTOS SAVECA, C.A",8526000
"20CAL01264","08-2020","CONSORCIO VEINCA, C.A.",1134000
"20CAL01270","08-2020","PRODUCTORA OCCIDENTAL PORCINA, C.A",561000
"20CAL01267","08-2020","INVERSORA CHILEVEN, C.A ",306000
"20CAL01272","08-2020","EL ACAPRO DEL GEF, C.A",836000
"20CAL01276","08-2020","COMERCIALIZADORA MARZA, C.A.",78992.82
"20CAL01282","08-2020","AGROYESCA, C.A",15774
"20CAL01281","08-2020","AGROYESCA, C.A",13145
"20CAL01278","08-2020","INVERSIONES Y CONSTRUCCIONES CARDENAS ORION, C.A.",3392080
"20CAL01277","08-2020","COMERCIALIZADORA MARZA, C.A.",158760
"20CAL01284","08-2020","EL ACAPRO DEL GEF, C.A",1045000
"20CAL01289","08-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",547800
"20CAL01294","08-2020","AGROPECUARIA EL NEGRO, C.A.",103750
"20CAL01293","08-2020","AGROPECUARIA EL NEGRO, C.A.",72610
"20CAL01295","08-2020",FUNDACION BATALLA MATA DE MIEL,336000
"20CAL01296","08-2020","EL GRUPO EBENEZER, C.A.",554400
"20CAL01297","08-2020",GRASACA GRASAS SAN CARLOS C A,927640
"20CAL01298","08-2020","EMPRESA MIXTA SOCIALISTA AVICOLA DEL ALBA, S.A",146850
"20CAL01300","08-2020",ALIMENTACION BALANCEADA ALIBAL C A,2205000
"20CAL01299","08-2020",ALIMENTACION BALANCEADA ALIBAL C A,1470000
"20CAL01304","08-2020","AGROPECUARIA PORCINO Y BOVINO RONGRAT, S.A.",2241000
"20CAL01303","08-2020","CONSORCIO VEINCA, C.A.",571200
"20CAL01308","09-2020","INVERSIONES GAJOLU 57, C.A",26040
"20CAL01311","09-2020",NORTECA INTERNATIONAL LIMITED,9924000
"20CAL01309","09-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),2690282.7
"20CAL01312","09-2020","DESARROLLOS DAHMO, C.A.",7290000
"20CAL01315","09-2020","COMERCIALIZADORA MARZA, C.A.",859.74
"20CAL01314","09-2020",INVERSIONES MAGEMEL C.A,55440
"20CAL01313","09-2020",INVERSIONES ALICEOLE C.A ,1218000
"20CAL01317","09-2020","ALIMENTOS EL MAIZAL, C.A.",24906
"20CAL01318","09-2020","AGRICOLA LA GIRALDA, C.A ",1875720
"20CAL01319","09-2020","ALIMENTOS FENIX DE VENEZUELA, C.A.",606500
"20CAL01320","09-2020","AGROPRODUCTORA VIRGEN DE COROMOTO, C.A",2184000
"20CAL01321","09-2020","ALIMENTOS JAD GLOBAL, C.A",6075000
"20CAL01328","09-2020","AGRO INDUSTRIA VENPORT, C.A.",24300000
"20CAL01331","09-2020","PROCESOS AGROINDUSTRIALES LUCKY, C.A",798000
"20CAL01332","09-2020","CONSORCIO VEINCA, C.A.",84109.2
"20CAL01329","09-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),428735
"20CAL01326","09-2020",AGROPECUARIA BUENA VISTA 2007,1134000
"20CAL01322","09-2020",IMPORTADORA Y COMERCIALIZADORA MAXIMA C.A. ,1680000
"20CAL01324","09-2020",IMPORTADORA Y COMERCIALIZADORA MAXIMA C.A. ,24300000
"20CAL01323","09-2020",IMPORTADORA Y COMERCIALIZADORA MAXIMA C.A. ,1596000
"20CAL01325","09-2020","GRUPO 3S, C.A",1218000
"20CAL01330","09-2020","ALIMENTOS MONACO 2016, C.A.",69979.79
"20CAL01336","09-2020","EMPAQUETADORA Y COMERCIALIZADORA EL FUTURO, C.A",2430000
"20CAL01341","09-2020",EMPAQUETADORA LA BENDICION DE SION C.A.,3082500
"20CAL01338","09-2020","EMPAQUETADORA AGROINDUSTRIAL PORT VEN, C.A.",3082500
"20CAL01339","09-2020",COMERCIAL AGRO INDUSTRIAL NUEVO CAMPO C.A.,2466000
"20CAL01340","09-2020","COMERCIALIZADORA FLORENCA 2012, C.A.",3082500
"20CAL01342","09-2020","COMERCIAL SUR, C.A.",2458000
"20CAL01344","09-2020","CORPORACION DE PRODUCTOS ALIMENTARIOS SANTA CLARA, C.A",6885000
"20CAL01343","09-2020","CORPORACION DE PRODUCTOS ALIMENTARIOS SANTA CLARA, C.A",144500
"20CAL01346","09-2020",INVERSIONES ALICEOLE C.A ,1233000
"20CAL01347","09-2020","DISTRIBUIDORA Y COMERCIALIZADORA LOS HATOS, C.A",368400
"20CAL01348","09-2020","COMERCIALIZADORA TAC 98, C.A ",736800
"20CAL01349","10-2020","HIPERMERCADO LA GRANDE, C.A",2591376.48
"20CAL01353","10-2020","GRUPO VENEZUELA AVICOLA, C.A.",850000
"20CAL01354","10-2020","ALIMENTOS EVA 2015, C.A.",850000
"20CAL01358","10-2020","PONGO, C.A",5788000
"20CAL01355","10-2020","ANGARITA & PUMAR, C.A.",294000
"20CAL01361","10-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),868680
"20CAL01365","10-2020","DISTRIBUIDORA DANARELLA, C.A",243000
"20CAL01366","10-2020","DISTRIBUIDORA DE ALIMENTOS LOS SOTOS 48, C.A.",11792000
"20CAL01371","10-2020","AVICOLA LA PROVIDENCIA, C.A.",621600
"20CAL01374","10-2020","AGROPECUARIA LA YUNTA C,A.",1310400
"20CAL01373","10-2020","AGROPECUARIA LA YUNTA C,A.",2268000
"20CAL01372","10-2020","AVICOLA LA PROVIDENCIA, C.A.",735000
"20CAL01369","10-2020","AGRICOLA LA GIRALDA, C.A ",4872000
"20CAL01376","10-2020","ALIMENTOS NANI, C.A ",4536000
"20CAL01377","10-2020","ALIMENTOS NANI, C.A ",4872000
"20CAL01375","10-2020","ALIMENTOS PISCIS DE VENEZUELA , C.A ",1822500
"20CAL01381","11-2020","AGROYESCA, C.A",2935
"20CAL01380","11-2020","COOPERATIVA VENE-GAS 2021, R.L. ",6145000
"20CAL01382","11-2020","CORPORACION DE PRODUCTOS ALIMENTARIOS SANTA CLARA, C.A",433500
"20CAL01384","11-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),2124150
"20CAL01383","11-2020",CORPORACION DE SERVICIOS PESQUEROS Y ACUICOLAS DE VENEZUELA (CORPESCA),2124320
"20CAL01387","11-2020","DISTRIBUIDORA SAN MIGUEL MM, CA",4916000
"20CAL01385","11-2020",INVERSIONES MAGEMEL C.A,4301500
"20CAL01389","11-2020","CARNES MOLINA EXPRESS CHACAO, C.A.",1700000
"20CAL01388","11-2020",FUNDACION BATALLA MATA DE MIEL,340000
"20CAL01391","11-2020","CORPORACION MAS FOOD RC, C.A.",1209000
"20CAL01392","11-2020","CORPORACION MAS FOOD RC, C.A.",840000
"20CAL01390","11-2020","AGROPECUARIA DOÑA LINA, C.A ",57792
"20CAL01393","11-2020","MAXIMAS DISTRIBUCIONES R.M, C.A ",504000
"20CAL01394","11-2020","ASOCIACION COOPERATIVA EL CUNAVICHERO 491, RL",504000
"20CAL01396","11-2020","IMPORTADORA PEL 2020, C.A.",4860000
"20CAL01395","11-2020","ALIMENTOS DE VENEZUELA 2014 ( ALIVENCA), C.A",504000
"20CAL01398","11-2020","ASOCIACION COOPERATIVA TORO ROJO 2505, R.L",850000
"20CAL01397","11-2020","AGROPECUARIA ROMEBET, C.A.",510000
"20CAL01402","11-2020","CORPORACION GRADUG C.J 1916, C.A",1215000
"20CAL01401","11-2020","CORPORACION GRADUG C.J 1916, C.A",1215000
"20CAL01400","11-2020","CORPORACION GRADUG C.J 1916, C.A",1215000
"20CAL01403","11-2020","CORPORACION GRADUG C.J 1916, C.A",1215000
"20CAL01404","11-2020",INVERSIONES JROCHA C.A.,364500
