,day_of_week,tweets_count,interactions_count,retweet_count,favorite_count,interactions_avg,retweets_avg,favorites_avg,engagement_rate
0,Friday,141,344550,101560,242990,2443.6170212765956,720.2836879432624,1723.3333333333333,0.029341848610948688
1,Monday,157,376228,95583,280645,2396.356687898089,608.8089171974523,1787.5477707006369,0.028774367823124914
2,Saturday,106,484366,88076,396290,4569.490566037736,830.9056603773585,3738.5849056603774,0.05486837705445963
3,Sunday,106,699135,264243,434892,6595.61320754717,2492.8584905660377,4102.754716981132,0.0791971424776744
4,Thursday,156,650176,134743,515433,4167.794871794872,863.7371794871794,3304.0576923076924,0.05004499674723271
5,Tuesday,188,14046,6414,7632,74.7127659574468,34.11702127659574,40.59574468085106,0.0008971171194639457
6,Wednesday,146,199102,23624,175478,1363.7123287671234,161.8082191780822,1201.9041095890411,0.016374841173387077
