date,tweets_count,retweet_count,favorite_count,interactions_count,engagement_rate,tweets_var(%),retweet_var(%),favorite_var(%),interactions_var(%),engagement_rate_var(%)
2020-07-19,18,4,19,23,1.5342977929259662e-05,500.0,100.0,850.0,475.0,-4.17
2020-07-26,18,10,10,20,1.3341719938486664e-05,0.0,150.0,-47.37,-13.04,-13.04
2020-08-02,25,103870,318190,422060,0.20271622742055656,38.89,1038600.0,3181800.0,2110200.0,1519316.0
2020-08-09,7,2,7,9,1.5438275928820286e-05,-72.0,-100.0,-100.0,-100.0,-99.99
2020-08-16,8,3,5,8,1.2007547944637999e-05,14.29,50.0,-28.57,-11.11,-22.22
2020-08-23,9,104458,26,104484,0.13939962660528407,12.5,3481833.33,420.0,1305950.0,1160833.33
2020-08-30,5,5076,22913,27989,0.06721585188449458,-44.44,-95.14,88026.92,-73.21,-51.78
2020-09-06,3,6328,41354,47682,0.19084796703207638,-40.0,24.67,80.48,70.36,183.93
2020-09-13,6,5,11,16,3.2020127852368e-05,100.0,-99.92,-99.97,-99.97,-99.98
2020-09-20,18,5,9,14,9.339205078350193e-06,200.0,0.0,-18.18,-12.5,-70.83
2020-09-27,26,8,20,28,1.2931207031561806e-05,44.44,60.0,122.22,100.0,38.46
2020-10-04,9,224,1858,2082,0.0027777464247321576,-65.38,2700.0,9190.0,7335.71,21380.95
2020-10-11,15,29190,15954,45144,0.03613792063346066,66.67,12931.25,758.67,2068.3,1200.98
2020-10-18,6,11,17,28,5.6035230470101155e-05,-60.0,-99.96,-99.89,-99.94,-99.84
2020-10-25,8,1547,7119,8666,0.013007177872872235,33.33,13963.64,41776.47,30850.0,23112.5
2020-11-01,18,14,34,48,3.2020131697200666e-05,125.0,-99.1,-99.52,-99.45,-99.75
2020-11-08,17,13,19,32,2.2602445903906357e-05,-5.56,-7.14,-44.12,-33.33,-29.41
2020-11-15,16,4,20,24,1.8011324079675375e-05,-5.88,-69.23,5.26,-25.0,-20.31
2020-11-22,10,5,14,19,2.2814343834255473e-05,-37.5,25.0,-30.0,-20.83,26.67
2020-11-29,15,6,17,23,1.8411575725890383e-05,50.0,20.0,21.43,21.05,-19.3
2020-12-06,5,0,1,1,2.4015098772900494e-06,-66.67,-100.0,-94.12,-95.65,-86.96
